title,category,multiclass,content
Earthquake drill sa mismong fault line ng Laguna,D,1,pinangunahan nina defense usec eduardo del rosario ndrrmc executive director ricardo jalad nationwide simultaneous rd quarter earthquake drill brgy san francisco bi city kahapon bahagi tuloy paghahanda ndrrmc sakaling makaranas bansa mapinsalang lindol exercise ging sentro scena rio paggalaw west valley fault magnitude lindol pipinsala malaking bahagi cavite rizal laguna brgy san francisco lugar dinadaanan west valley fault inaasahang magi ging matindi pinsala inaalam ndrrmc kahandaan kagamitan pnp bureau fire health dept afp pang rescue units responders rescue scenario pagguho gusali vehicular accident hazardous material spill high-rise rescue sunog looting pang kahalintulad eksena panahon trahedya
1K worker sa mega drug rehab sa N.Ecija,H,4,pumalo libo katao nabigyan trabaho pagtatayo gobyernong duterte drug rehab center fort magsaysay laur nueva ecija sinabi kahapon press briefing malaca health secretary paulyn jean rosell-ubial siyang tagapangasiwa itina yong mega drug rehabilitation center regional office region iii department health doh ubial namahala recruitment human resources nasabing pasilidad kaugnay inanunsyo doh secretary soft opening drug rehabilitation center partially natapos kamakalawa oktubre opisyal pagbubukas drug rehab center inaasahan susunod buwan
Bangkay lumutang sa Manila Bay,C,0,naagnas bangkay lalaki lumutang kahapon umaga manila bay port rea maynila imbestigasyon spo bernardo cayab yab manila police district-homicide section inilarawan biktimang edad - aas nakasuot brown short pants pang-itaas dakong alas- umaga mangingisda lugar nakalutang bangkay kaagad itinawag philippine coast guard pcg siyang nag-ahon bangkay wala namang nakitang sugat katawan biktima pinaniniwalaang nalunod lumangoy dagat dinala bangkay cruz funeral awtopsiya safekeeping
PDigong walang nilabag,P,5,nanindigan chief presidential legal counsel salvador panelo nalabag due process pangulong rodrigo duterte isapubliko pangalan heneral pnp sinasabing sangkot ilegal droga panayam panelo malaca sinabi man hinihikayat pangulong duterte opisyal sangkot illegal drug trade lumabas kabila pagkakataong lumantad naman pinangalanan law due process violated president well pnp chief threatening name asking come forward given chance president named fact giving opportunity explain side went media explain innocence paliwanag panelo itinanggi panelo nagkakaroon trial publicity kaso generals trial publicity come yung media nilalathala lang yung nag-aakusa di pinapakinggan di nilalabas yung panig inaakusahan dagdag panelo
"Bianca M., mamamanhikan sa pamilya ni Fabio sa Brazil",E,2,matutupad inaasam bianca manalo makilala personal buong pamilya boyfriend fabio ide brazil round trip ticket iniregalo brazilian model turned actor bianca surprised birthday celebration kamakailan lang pagkagaling bianca airport hours trip albania nakipagkumpitensya kapatid nichole manalo miss globe dumiretso aktres kasama fabio club bgc ikinagulat bianca nag-aabang surprised party minutes sumapit th birthday naroon kaibigan kapatid siyang nagdala cake naluha kaligayahan sorpresa bianca lalo regalo fabio round trip plane tickets brazil makilala magulang boyfriend buong kuwento bianca coming hour flight albania sister nichole manalo competed crowned rd-runner miss globe arrived manila pm minutes birthday darling waiting outside airport flowers hand way home gp reyes called something bad happened louie caused brazilian claiming friend fabio course allan act part plan go pool club fab fabio went empty cabana knowing people inside cabana waiting surprised super close friends family course bianca started cry kasi saw sisters katemanalohernandez kyliemanalobalagtas holding cake happy surprised say surprised surprised talaga gift ticket brazil meet family oh wow well masasabi hayyy grabe thank making th birthday extra super duper extravanganza special love fabioideofficial people came surprise even sunday thank super feel loved well mukhang baligtad sitwasyon bianca mamamanhikan pamilya fabio brazil ha
CURFEW INAWAT NG SC,P,5,inisyung temporary restraining order tro pansamantalang ipinatigil supreme court sc implimentasyon curfew ordinance quezon city maynila navotas matapos magsagawa en banc session kahapon kataas-taasang hukuman kaugnay isinampang petisyon samahan progresibong kabataan spark nasabing curfew ordinances syudad kasabay tro inatasan sc lokal opisyal lungsod maghain komento kaugnay petisyon ipinaliwanag mahistrado ginagawang pagdetine menor-de-edad gamit curfew ordinance illegal sinabi spark petition certiorari prohibition sc inabuso umano lgus kapangyarihan partikular pagdetine menor-de-edad gayundin magulang ikinukulong pantay-pantay pagpapatupad curfew ordinance iginiit petisyon manila ordinance napapaloob republic act kilala juvenile justice welfare act konstitusyon ikinukunsidera curfew violator status offense pinaparusahan kabataan hustong edad manila city ordinance quezon city ordinance sp- navotas city ordinance - ipinatutupad curfew hours alas- gabi alas-kuwatro madaling-araw kabataan edad
Suspek sa Cotabato bombing nasakote,T,7,pangunahing suspek pambobomba north cotabato noong nobyembre ikinamatay estudyante ikinasugat katao naaresto kasama pinagha hanap ulat sr insp ronnie cordero hepe kabacan police north cotabato nahuli suspek gardo usop tulong kapitan barangay kayaga bong bacana usop nahaharap kasong murder frustrated murder regional trial court rtc branch north cotabato magugunitang nasawi estudyante nasugatan improvised bomb iniwan hagdan highway overpass poblacion kabacan noong nobyembre sumabog
"Buntis na dinapuan ng Zika, nanganak na",H,4,nagluwal inang dinapuan zika virus malusog sanggol sumapit pasko kinumpirma health secretary paulyn jean rosell-ubial pulong balitaan kahapon ligtas virus -anyos pasyente zika las pi city gayundin sanggol patuloy mino-monitor lagay kalusugan mag-ina ipinaliwanag ubial bagong phenomena bansa alam manipestasyon kailan lalabas patuloy inoobserbahan lagay mag-ina close surveillance monitoring yung patients know new phenomena health systems kalihim really know manifestations come developing terms spurt zika virus theory natin brain development first second trimester medyo late pregnancy zika less safe still even world health organization still monitored dagdag ubial records doh nitong dis yembre kumpirmadong zika cases naitala ibang health facility bansa las pi bi laguna quezon city cebu
2 turista nilamon ng dagat,D,1,wala buhay maiahon dagat tu rista matapos mag-swimming aurora quezon halos lumabo katawan biktimang sina teresita ramos us citizen gerald arthur stephen canadian matagpuan makalipas halos oras paghahanap nabatid isinasalba lang sana stephen ramos matapos makitang humihingi saklolo nalulunod kalaunan silang nilamon malaking alon imbestigasyon nag babakasyon bansa nagkasundong maligo dagat magkataon malakas alon dagat dulot naka ambang pagdating bagyong nina
ALAB: Hidilyn na ‘di ba?,S,6,wala bang athlete year phi lippine sportswriters association pinag-uusapan ba iyan pinagtatalunan meron bang di ba hidilyn diaz naman ugok kokontra riyan de trillanes ba kinokontra lagi sinasabi digong tatalo ba silver medal hidilyn rio olympics wala makakalagpas niyan mahirap ding pantayan maski manny pacquiao uubra oo world champ uli pacquiao noong agawin korona welterweight king jesse vargas halos balita iyan minamani-mani lang pacquio pagkulimbat titulo ba naka-walong korona t-ibang dibisyon mahirap pantayan nakamit pacquiao bigyang-daan hidilyn pambihira sumulpot siyang parang kidlat inasahan taon hinintay magkamedalya olympics silver dal naulit silver boxer anthony villa nueva noong tokyo boxer onyok velasco noong atlanta sakali matuhog hidilyn ginto tokyo olympics magtaka disiplina determinasyon trey ning lang swak wari tagumpay hidilyn bravo
Insect spraying sa NAIA,H,4,nagsagawa residual insect spraying bureau quarantine boq tulong manila international airport authority miaa lugar pamuga ran lamok upang maiwasan pagkalat dengue zika virus ninoy aquino international airport naia kahapon dr noel ramirez boq doctor-on-duty residual insect spraying airport drainage system baggage conveyor departure arrival lobby garden ramp parking areas airlines government offices naia terminals tuwing weekends gamit water base chemical mist ma-control maiwasan pagkalat dengue zika virus dala lamaok istriktong polisiya ipinatutupad department health doh pag-fill quarantine form dumarating pasahero pagsasagawa disinsection procedures international flights dumarating naia world health organization declared zika virus public health emergency international concern thus effective preventive interventions needed place deter possible transmission virus country ani ramirez sinabi ramirez maraming bansa nagsasagawa disinsection eroplanong dumarating bansa kaso malaria yellow fever zika virus pag-spray loob aircraft maliban food preparation area gamit quick-acting insecticide spray mag-take kasama pasaherong sakay
PBA: STAR BUHAY PA  SA PLAYOFFS,S,6,laro bukas cuneta astrodome p mahindra vs nlex p phoenix vs alaska nagliyab opensa allein maliksi pangunahan star hotshots pagtambak blackwater elite - kahapon - pba philippine cup eliminations cuneta astrodome pasay bumira -of- labas arc maliksi tungo points kasama five rebounds itulak hotshots - karta panatilihing buhay paghahabol playoffs know happy yung rookies gumagana wika star coach chito victolero itong game start playoffs medyo malamya umpisa hotshots biglang nag-init second quarter matapos humarurot - run makuha trangko - halftime bahagyang nanindak elite third period puntos hinahabol - nasira diskarte star pinasan nina maliksi paul lee itakas pangalawang sunod panalo nag-ambag lee points talo nalagay alanganin elite makalaro susunod round - card blackwater scores star maliksi lee melton jalalon sangalang barroca ramos dela rosa pingris reavis brondial blackwater dela cruz pinto sumang buenafe aguilar sena belo miranda gamalinda cervantes ababou pascual quarterscores - - - -
PULIS-CAVITE NA SANGKOT SA DROGA IPINAHULI NI HEPE,C,0,inaresto kabaro aktibong police inspector matapos ikinasang entrapment operation bacoor component police station cps cavite cidg bgy bayanan bacoor city cavite pasado alas-otso umaga kahapon kinilala p supt christoper olazo oic bacoor cps nasakoteng suspek p insp lito dating nakatalaga intel unit nasabing himpilan pulisya nag-ugat insidente drug bust ikinasa dasmari cps katuwang intel unit suspek noong hunyo pasado alas-kuwatro hapon matunton grupo abandonadong kulay itim toyota fortuner drug suspek bgy molino bacoor city pinaniniwalaang kargang droga nasabing suv gapatak droga wala nakuha loob i-turn suspek himpilan personal umanong tinawagan olazo upang isurender ebidensyang droga pag-iingat ani olazo good faith ya hepe n ya inasahan huhulihin ya idinagdag nitong lapses violation police procedure nangyaring pag-iingat halos buwan droga ebidensya inamin bahagi gramo shabu gramo nakuha posesyon pinaghatian umano kasama dasmari police natira gramo
"Barko lumubog, 26 crew nasagip",D,1,nasagip tripulante barko lumubog kyushu island bansang japan ulat sinabi japan coast guard north korean cargo vessel lulang bigas lumubog sakay crews pawang north koreans base inisyal imbestigasyon butas barko sanhi upang pasukin tubig lumubog
Pacquiao ready na sa Senado,P,5,nakapag-warm ready sumabak trabaho senado senator-elect emmanuel manny pacquiao nakatapos kasi grumadwyet pacquiao nine-day crash course sumailalim pacquiao executive coaching program parte paghahanda pacquiao pagbubukas th congress kasama pacman staff dumalo executive coaching pinag-aralan pambansang kamao protocol senado parliamentary procedures pagtalakay ibang importanteng programa pamahalaan
"Bawas-singil sa tubig,  ipatutupad sa Hulyo",EC,3,simula hulyo katapusan buwan setyembre singil tubig ipatutupad maynilad metropolitan manila water sewerage system mwss nilinaw maynilad pagsasabing taripa maynilad nitong third quarter taong kasalukuyan fcda paglilinaw jenifer casipit-rufo head stakeholder communications maynilad kaugnay unang napaulat tataas singil tubig casipit-rufo board resolution mwss petsang hunyo nakasaad maynilad granted foreign currency differential adjustment fcda cu average cu average decrease previous quarter average fcda cu ibinatay mwss bawas-singil fcda fcda mekanismo ipinagkaloob maynilad mwss upang mabawi maisauli kita batay paggalaw dolyar yen euro lumalakas piso dolyar ibang currency bumababa fcda tumataas naman fcda humihina piso maynilad sentimo nabawas magandang balita
PDU30 'di maka-move on kay De5!,P,5,kabila pakikipagkamay sen leila de state nation address sona kongreso noong lunes nakapag-move pangulong rodrigo duterte matapos banatan pangulong duterte paborito kritiko national security council nsc meeting kamakalawa nsc meeting went well direction substance consensus unity purpose usual always expected vintage rody enjoyed adlib mention asides not-so-subtle sniping favorite critic you-know-who kwento sen panfilo lacson
"Floating shabu lab sa Subic, ni-raid",C,0,sinalakay philippine national police natuklasang floating shabu laboratory nakadaong sakop subic zambales tinukoy pnp chief director general ronald bato dela rosa pangalan chinese nationals dinakip loob natuklasang floating shabu laboratory nakakumpiska kilos shabu barangay calapandayan zambales sina shu fook leung kwok tung chan wing fai lo kam wah kwok pawang hong sinasabing pitong-araw pilipinas suspek maaresto matapos magsagawa operasyon operatibang pnp anti-illegal drugs group pamumuno sr supt bert ferro katuwang police regional office pamumuno sr supt christopher mateo mateo patuloy imbestigasyon indibidwal posibleng kasabwat tsino pilipinas nakuha loob barko kalahating kilo shabu nagkakahalaga p million shabu manufacturing equipment kayang makapag-produce kilos shabu kada-araw malaki teyorya pulisya loob barko kinukuha shabu dinadala cagayan pangasinan monitoring awtoridad nasabing fishing vessel galing hong dumaong cagayan naglayag patungong ilocos pangasinan magtungo subic bay accordingly three times nag-unload eto nagpi-prepare pabalik china another delivery pahayag dela rosa
"KYLIE, ‘PINUSUAN’ ANG NAGTANGGOL SA  ‘PAGBUBUNTIS’ NIYA!",E,2,sunud-sunod posts kylie padilla insta gram account photos karakter encantadia amihan sunud-sunod tanong followers buntis ba abmam buntis pala pala papatayin character mo encantadia hanzkie sana totoo yung balita siyempre roon sinasagot kylie alam mong nagbabasa messages tanong kaibigan like kevin balot sina got naman kina laman pagbubuntis kundi apps ginamit photos nagkomento nanghinayang kylie uy liz sayang yung career mo uy liz amihan heart enca jhanz sayang yung career mo goodbye enca lang balik uli ulit probin syano daming nanood sana di totoo yung balita followers kylie ipi nagtanggol pagbu buntis dalaga nagsa sabing sayang carreer olehc uy liz jhanz naman yang career lang baby sayang agad mara ming babae nabiyayaan anak cla yung nagi ging pra sumaya buhay nakakalungkot lang isipin porket nabuntis iisipin nyo agad sayang agad career unfair naman baby yun wag lang sana i-deny magkakaroon xa marming ha ters kawawa c baby nakakaaliw dinami-rami messages ig wall kylie komentong yon nagtatanggol pagbubuntis umano pinusuan sinagot puso kylienicolepadilla olehc
10 pa nadagdag,C,0,nadagdag listahan napatay drug personalities ibang bahagi northern luzon drug pusher napaslang katao sangkot droga nadakip bulacan pnp makaraang magsagawa one time big-time otbt awtoridad magkakahiwaly buy-bust-operation siyudad bayan bulacan kamakalawa napaslang benedict curpoz residente tapao-tigue curimao ilocos norte umano drug personality nasabing lugar isinagawang buy-bust-operation cabanatuan city pinatay number drug personality kinilalang mario mempin madrid umano riding-in-tandem
100 bahay naabo sa Zamboanga,D,1,nasawi sugatan malaking sunog zamboanga city halos kabahayan naabo halos oras pananalasa apoy barangay naganap sunog brgy camino nuevo pinaniniwalaang nagmula bahay residenteng billy tubil patuloy imbestigasyon bureau fire protection upang mabatid tinatayang aabot p milyon halaga nasunog ari-arian nitong sabado gabi inilikas naman apektado sunog kalapit paaralan naglunsad naman media kanya-kanyang tulong panawagan donasyong pagkain nasunugan
ALINDOG NI LOUISE SA IG BURADO NA!,E,2,ganda instagram louise delos reyes worth pagpunta-punta ibang lugar pilipinas ipinu-post magagandang tanawin kasama photos cebu bohol kamakailan lang nagtataka lang parang laging emote-to-death louise ba yon kawalan boyfriend kawalan project project ngang fans nagri-request encantadia medyo matagal-tagal daw nakikita tv ha boyfriend naman sanay boyfriend louise palagi sinasabi interview friends lang recent trip cebu nag-post photo seksing-seksi batuhan maintindihang sitwasyon binura photo yon makalipas lang oras ba naseseksihan oh pinagsabihan mang special someone wag ilantad alindog dex lgidol louise dr wala uung pic batuhan kriziamikko dex lg haha yun po talaga yung hinanap mo dex lguu kriziamikko although sanay nagde-delete idol post ganda kc talaga kriziamikko dex lg maganda mahabang damit
Mag-iinang sexy pinagsasaksak sa France,C,0,arestado french police lalaking moroccan matapos nitong saksakin babae anak babae alpine resort france impormasyong nakuha offend umano -anyos suspek yvelines region labas paris sexy attires biktima inatake umano suspek mag-iina nakatira lagrand village pagdaan terrace apartment biktima nag-aalmusal umano biktima atakehin suspek armado kutsilyo public prosecutor raphael balland sugatan -anyos ina walong-anyos anak nitong babae pawang isinugod grenoble hospital nakatakas suspek kalaunan nadakip awtoridad
“Hindi ko boyfriend si Jake Vargas!” — Inah de Belen,E,2,oh mama pahinga raw muna inah de belen mabigat drama tv nasagad daw unang pagbida need recharge muna december ta lagang break po biro almost every taping umiiyak parating intense eksena realize hard really act mommy janice de belen daddy john estrada mahal trabahong diin inah next year hinahanda susunod teleserye inah magiging abala promotion mmff official entry die beautiful anak paolo ballesteros role inah small role movie scene one touching scenes whole film noong nabasa buong script naiyak want part movie guest role lang naman jake vargas getting-to-know stage lang daw close jake oh mama charming person siyempre want know naman po nanliligaw knows priority trabaho understands naman nilinaw inah jake natatawa lang lumabas raw true good friends po muna inah
MAY OUTBREAK SA CAVITE!,H,4,tinututukan department health doh hakbang tuluyang mapuksa chikungunya outbreak silang cavite nabatid ideklara provincial health officer cavite dr george repique chikungunya outbreak indang cavite base rekomendasyon provincial epidemiologist dr nelson soriano base pinakahuling ulat cavite mayroong chikungunya-related naitala buong probinsya cavite bayan indang tig-da lawang kaso general trias dasmari chikungunya virus naipapasa buhat lamok infected maari umanong magkaroon lagnat pananakit muscles pananakit ulo pagsusuka makakaranas matinding pagkapagod rashes maihahalintulad dengue nag-ugat chikunguya virus africa asia india kumalat europe amerika wala gamot natutuklasan naturang sakit maliban pag-alis nararamdamang sintomas ordinaryong gamutan
Lahar flow sa Bulusan nagbabadya  ,D,1,patuloy minomonitor philippine volcanology seismology phivolcs kakaibang explosion pattern mt bulusan hinihintay tauhan phivolcs sorsogon observatory resulta pagsusuri abo ibinuga mt bulusan sumabog noong nakaraang biyernes phivolcs resident volcanologist ed laguerta resulta malalaman pagbabago chemical composition abo kinolekta ipinadala central office quezon city kasabay paniniyak wala pang ikaalarma nangyaring phreatic explosion normal daw yun sumasabog bulkan kaugnay ikinakasa sorsogon provincial government paghahanda posibilidad pag-ragasa lahar bulkang bulusan nitong nakalipas araw nagbuga makapal abo natu rang bundok sinundan malakas pag-ulan posibleng magresulta lahar flow lahar maaring dumaan cadac-an river tumatagos natu rang bayan
"Sarah, kargado na kaya mega-subsob na!",E,2,balik dating gawi sarah geronimo ngayong manager mr vic del rosario sasabak agad shooting movie john lloyd cruz paghandaan agad big concert november siyang album siyempre babalik mentor voice teens naka-recharged enjoy uli siyang magtrabaho mr del rosario pinayagan boss vic magbakasyon alaga buwan last year nag-enjoy bakasyon nakapahinga dagdag boss vic since puro trabaho sarah tama lang nagbakasyon active uli alam direction say boss vic parang nagbibiyahe yan di ba puwe deng dire-diretso mo mag-stop magkarga gas banggit bakasyon alaga last year june raw puno sked sarah kasama sked bagong endorsement far endorsements sarah raw alyas robin hood ngayong gabi magkikita sina julian betchay junkshop jekjek magmamakaawa julian betchay ituro lizzy dadalhin betchay julian kina lizzy makikita nina chino llama julian agad itong ibabalita chino dean wilson papupuntahin wilson chef venus kasama itong umatake pepe junkshop magmamanman naman sina chino llama bahay judy julian makakatanggap bisita pepe sina venus chef venus chef attack pepe time hahabulin nina venus chef pepe magkakaaway gustong solohin pepe mahuhuli pepe maiiwang sobrang dismayado venus kakausapin jekjek pepe nabasa raw mind control lang daw bumalik dati venus magagawa misyon mapapaisip pepe madadatnan daniel sina dean sarri magkasama kokomprontahin sarri sasabihing magpagamit dean magkakasagutan lalaki matitigil lang sawayin victoria ihatid sarri dean labas babaeng lalapit mary administrator sinukuan aaminin babae mind control sarri sinukuan raw tunay mahal dean maiinis sarri babae paaalisin
Kambal na lindol sa Italy,D,1,niyanig magkasunod malakas pag lindol lugar bansang italy us geological survey usgs ala-una madaling-araw unang natukoy magnitude lindol epicenter timog-timog kanluran bayan visso probinsya macerata lalim kilometro sinasabing sumentro perugla macerata visso layo milya hilagang-silangan rome milya hilaga amatrice awtoridad matapos yumanig unang lindol agad lumikas tao naiulat nasaktan ulat maraming bahay gumuho gusali nasira makalipas oras pang lindol lakas magnitude sentro kilometro hilaga-hilagang kanluran visso peruguia lalim kilometro aftershocks naramdaman maraming residente central italy lumikas ligtas lugar
MERALCO TUMBA  SA PHOENIX,S,6,pinalamutian matthew wright team-high points crucial plays fourth quarter naitakas phoenix fuel masters - panalo kontra meralco pba philippine cup arena san juan kagabi nagpasabog points final stanza -anyos fil-canadian wright tampok free throws malalaking rebounds nag-selyo panalo phoenix nagbaba eight boards wright napigil fuel masters two-game slide umangat - overall makigitgit top eight aabante playoffs -game eliminations last two games ipinagwasiwasan star tnt tropa phoenix relieved nabunutang-tinik bulalas phoenix coach ariel vanguardia lost last two games average points given us tremendous pressure like sleepless nights us pinangunahan game-high points bench rookie jonathan grey bolts reynel hugnatan nagsumite double-double points rebounds cliff hodge chris newsome nag-a-average points nalimita han lang kakarampot two points shooting bagama eight assists five boards meralco umahon phoenix - pagkakabaon third
29th SEA Games ‘Baton Run’ sa Marso,S,6,tataas kurtina th southeast asian games nakatakda darating agosto - kuala lumpur malaysia pagtahak bansa baton run panimulang aktibidad nalalapit multi-sports event th southeast asian games unang linggo marso binunyag philippine sports commission psc chairman william butch ramirez pagkalipas meeting bumisitang opisyales sina ministry youth sports malaysia nik abd kadir niic mohammad akmal che mustafa embassy malaysia meeting important visitors malaysia ministry youth sports pinag-usapan iyung isasagawa baton run like sports natin athletics ipinapasa iyung baton kasamahan planong magsimula pebrero kahapon ramirez papasinyaan host malaysians baton run ipapasa ililibot miyembro southeast asian games federation kasama thailand indonesia cambodia singapore vietnam laos myanmar timor leste brunei pilipinas lalapag maynila baton marso balak government sports agency makapagbuo grupo symbolic -kilometer relay run ipasa pinoy baton pa-laos naman marso one pass baton laos panapos ramirez pagbabalik baton kuala lumpur pagbubukas sea games kabuuang sports paglalabanan pang-anim paghu-host malays biennial meet matapos noong
MARIAN-DINGDONG ‘TWINNING’ STYLE AGAW-EKSENA!,E,2,mahigit likes makalipas lang oras hinamig photo magdyowang marian rivera dingdong dantes instagram aktres outfit tuxedos coat tie pag-attend debut gabbi garcia last tuesday night dec marriott hotel grand ballroom raw nagulantang pagdating mag-asawa ini-expect bonggang gown suot marian nangyari bagkus kinopya style mister shoes lang nagkaiba black leather shoes dong white high heels suot marian matching white clutch bag ba yan nag-suit marian maganda seksi daw hustisya relationship goals raw trip kayang-kayang sabayan perfect combination raw sina marian dingdong parehong gwapo maganda lalong kapansin-pansin outstanding magkasama daw kataka-taka event dadaluhan mag-asawa mauuso naman twinning matchy-matchy ha simpleng twinning mi amor lang caption marian photo dingdong winner talaga siyempre sobrang na-appreciate debutante gabbi garcia pagdalo mag-asawa naman sobrang nag-thank mismong ig account marian
"May drug  link sa  media ""   Palasyo",C,0,kinumpirma malaca nauna pahayag pnp chief director general ronald dela rosa mayroong miyembro media gumagamit ilegal droga nagsisislbing protektor drug lord panayam radyo bayan presidential spokesperson ernie abella inamin mayroong intelligence report magkukumpirma nasabing impormasyon inihayag dela rosa gayunpaman tumanggi abella mayroong hawak dela rosa listahan pangalan miyembro media sangkot illegal droga siniguro dela rosa alinsunod direktiba pangulong rodrigo duterte sasantuhin pinaigting kampanya kontra ilegal droga matatandaan nitong pinangalanan heneral nagsisilbing protektor sindikato droga nangako itong papangalanan alkalde opisyal lgus sangkot illegal drug trade
BIFF kumander nirapido habang tulog,C,0,zamboanga city patay kilabot commander bangsa moro islamic freedom fighters biff matapos itong lusubin loob bahay bayan datu salibo magulong lalawigan maguindanao muslim autonomous region mindanao nabatid mahim bing umanong natutulog esmael tamarin pasukin armado kamakalawa madaling-araw saka niratrat agad namang tumakas salarin agad naman ibinintang biff militar naturang pagpatay umako pagpaslang tamarin itinanggi militar kinalaman pagligpit tamarin halip sinabing kaaway tumira barangay butilin naman mabatid kasamang tauhan tamarin bahay isinabit militar tamarin atake pagpatay sundalo maguindanao
Christmas party inulan ng bala,C,0,katao kabilang defeated yoralty bet nasawi sugatan pagbabarilin nakikilalang salarin kasagsagan christmas party sultan kudarat kamakalawa gabi kinilala nasawi sina peter dumrigue natalong kandidato pagka-mayor sultan kudarat kamag-anak nitong sina ernesto ayson florante guil lermo sugatan naman oyet mateo residente barangay katiku president quirino sultan kudarat sultan kudarat police provincial director sr supt raul supiter kumakanta biktima videoke machine kasabay christmas party family reunion bigla lang silang pinaputukan nag-iisang suspek gamit armalite rifle gumanti putok security escort dumrigue sina spo jonathan la forteza cpl ruel dordas tinamaan suspek mabilis tumakas sakay motorsiklo naghihintay nitong kasamahan biktima agad dinala tamondong hospital tacurong city binawian buhay dumrigue ayson guillermo samantalang maselang kondisyon mateo patuloy ginagamot away pulitika natatanaw awtoridad pamamaril biktima target dumrigue nadamay kamag-anak
2 sapul ng kidlat sa beach,D,1,natusta katawan namatay -anyos houseboy sugatan naman kasamahan tamaan kidlat naliligo dagat cagayan de oro city sunog buong katawan kamatayan biktimang roldan dinog patuloy pang ginagamot mark niel torion imbestigasyon pulisya sinabi amo biktima john rey sajulga trahedya lumalangoy jesper beach resort zone punta brgy bonbon biglang kumidlat tinamaan matindi sunog tinamo dinog umabot buhay ospital
"BABAENG MAY ZIKA, NASA ILOILO",H,4,kinumpirma department health doh umakyat anim-katao kumpirmadong kaso zika virus bansa doh pinakahuli tala bagong kaso nangyari -anyos babae iloilo city positibo nakamamatay zika virus sinabi doh undersecretary gerardo bayugo nasabing pasyente record umalis bansa iniulat nag-ugat nasabing virus nilinaw bayugo wala namang naitatalang kumpirmasyon local transmission naturang virus pilipinas far wala kaming evidence merong transmission locally case surfacing ani bayugo inaalam doh asawa nasabing biktima nahawahan nasabing virus umano itong mailipat sexual contact taong unang ma-detect unang kaso zika virus bansa umabot kaso
2 Zika cases naitala pa sa Metro,H,4,umakyat nagpositibo zika virus bansa inianunsiyo health secretary paulyn jean ubial makaraang madagdag biktima metro manila -anyos lalaki makati city -anyos babae mandaluyong city latest zika victims record doh pinakamaraming naitalang nagpositibo nasabing virus iloilo kaso muntinlupa city cebu city antipolo city karagdagang makati mandaluyong kabila malugod ibinalita ubial na-detect biktima virus naka-recover muling nagpaalala doh chief panatilihing malinis paligid upang maiwasan pagdami lamok nagdadala zika pang sakit
Singapore Airline plane nasunog,D,1,nabalot tensyon pasahero crew eroplano makaraang masunog sinasakyan papalipad changi airport ulat agad nailikas pasa hero crew tuluyang masunog boeing - er singapore airlines ltd sia base inisyal im bestigasyon kalalapag lang changi airport eroplano dakong alas- umaga big lang maglabas engine oil warning message kanang bahagi makina nag-abiso piloto lumikas agad namang kumilos crew mabilis inilikas pasahero inilabas kalatas sia mabilis nailikas pasahero nasaktan nasabing insidente makalipas oras nakalipad inilikas pasa hero patungong milan sakay ibang eroplano oktubre maitala trahedya kinasangkutan sia bumagsak eroplano construction equipment taoyuan international airport taiwan pasahero nasawi
SOCE extension kinuwestyon sa SC,P,5,naghain partido pangulong rodrigo duterte partido demokratiko pilipino-lakas bayan pdp-laban petisyon korte suprema kumukwestiyon ekstensyon ibinigay commission elections comelec paghahain statements contributions expenditures soces kandidato nagdaang halalan -pahinang petisyon sinabi pdp-laban davao del norte rep pantaleon alvarez umabuso diumano comelec mag-isyu resolution nag-extend paghahain soces hunyo hunyo inihain pdp-laban petisyon linggo matapos ibasura korte suprema unang inihaing petisyon nasabing extension nauna ibinasura kataas-taasang hukuman petisyon inihain retired army col justico padiernos people freedom party atty manuelito luna teknikalidad petisyon pdp-laban sinabi alvarez labag diumano comelec resolution section republic act nagsasabing pwedeng i-extend -day period paghahain soces extension deadline filing soce illegal prohibited void violating statutory mandate section ra apela pdp-laban
"PBA D-League Draft: Teng, Potts una sa listahan",S,6,matapos akayin kani-kanilang collegiate team kampeonato sina la salle jeron teng san beda davon potts humakbang palapit parangap pro-career listahan aplikante pba d-league draft mangunguna -man pool gaganaping draft dis yembre pba caf etrowalk pasig city nasabing lista han local naman fil-foreign pplicants kabilang nagpalista sina san beda standout robert bolick feu playmaker monbert arong letran big man jom ollano southwestern u guard mac tallo koponan lalahok pba d-league aspirants cup sisimulan enero wala phoenix idepensa korona magiging kapana-panabik mag-aagawan titulo gaya runner-ups caf france tanduay early favorites kasali r acal ama online education blustar malaysia nagbabalik wangs basketball jose rizal u baguhang cignal province bata ngas manuel l quezon university
"US drone, ibabalik ng Beijing",P,5,tiniyak beijing ibabalik us naval drone narekober west philippine sea wps partikular loob exclusive economic zone eez pilipinas matatandaan binatikos china ginagawang hyping us kaugnay insidente sinabing inappropriate unhelpful amerika naman pentagon pagrekober bagay unlawful itong maibalik kaagad kabila pahayag china defense ministry ibabalik narekober unmanned underwater vehicle uuv idinetalye gagawing pag-turn us kaugnay inihayag pentagon ngako beijing ibabalik narekober underwater drone nagbigay abiso chinese authorities american officials kaugnay plano pagbalik drone tinatrabaho magkabilang panig proseso pagsosoli nasabing underwater unmanned vehicle
