title,category,content,original
"Muslim sa China inalisan ng balbas, belo",,bawal la laking muslim tubo habang balbas ipi bawal nam suot belo mpublikong lugar baeng muslim western region xjiang batid nibagong utus china muslim ira bansa sanhi higpit mpanya china islamist extremism isisi kasi chese government hasik rahas turang rehiyon islamist militants separatist xjiang ta han mil yong muslim apelang ranas raw diskrimasyon tiyak nam beijg protektado rapat muslim bilang legal religious rights,bawal la laking muslim magpatubo mahabang balbas ipi nagbawal naman pagsusuot belo pampublikong lugar babaeng muslim western region xinjiang nabatid nibagong kautusan china muslim naninirahan bansa sanhi mahigpit kampanya china islamist extremism isinisisi kasi chinese government paghasik karahasan naturang rehiyon islamist militants separatist xinjiang ta hanan mil yong muslim umapelang nakakaranas raw diskriminasyon tiniyak naman beijing protektado karapatan muslim kabilang legal religious rights
AFP ‘kuryente’ sa balita,,bansagang militanteng grupong rapat armed forces philippes afp fake news factory ano lat mali pekeng balita armed forces philippes proven fake news factory intent sabotage grp-ndfp peace talks use unfortunate incidents twisted facts inflict sufferings people ani crista labay secretary general rapat reaksyon grupo hayag afp sunog rebeldeng new people army npa concepcion national high school valencia city bukidnon noong march trendg social media akusasyon afp nilaw nam city disaster risk reduction management office cddrmo short circuit sunog eskwela nag-react ano teacher residente ling balita afp buwelta grupo raw taka pati tay jose rizal la global warming isi afp npa,binansagang militanteng grupong karapatan armed forces philippines afp fake news factory umano pagpapakalat mali pekeng balita armed forces philippines proven fake news factory intent sabotage grp-ndfp peace talks use unfortunate incidents twisted facts inflict sufferings people ani cristina palabay secretary general karapatan reaksyon grupo pahayag afp sinunog rebeldeng new people army npa concepcion national high school valencia city bukidnon noong march magtrending social media akusasyon afp nilinaw naman city disaster risk reduction management office cddrmo short circuit pagkasunog eskwelahan nag-react umano teacher residente maling balita afp buwelta grupo raw magtataka pati pagpatay jose rizal paglala global warming isisi afp npa
NPA tinawag na terorista ng DND chief,,tawag defense secretary delf loren zana terorista new people army npa araw simula apat round negosasyon sunduang yapa netherlands ipunto lorenzana lipas lggo sunud- sunod ilunsad atake sunog gamit ari- ari kpanya tanggi gikil rebeldeng grupo salakay tam ba ngan npa tau militar pulisya isagawa aniya komunistang grupo rahasang tapos hilg liderato balik usapang kapa yapa hayag tupad unila teral ceasefire simula noong lista estados unidos tero ristang grupo npa samantala ilatag gobyerno kondisyones bilateral ceasefire agreement communist party philippes-new people army-national democratic front cpp-npa-ndf rito law ramereters terms refe rence ceasefire,tinawag defense secretary delfin loren zana terorista new people army npa araw pagsisimula ika-apat round negosasyon kasunduang pangkapayapaan netherlands ipinunto lorenzana nakalipas linggo sunud- sunod inilunsad pag-atake pagsunog gamit ari- arian kumpanya tumanggi pangingikil rebeldeng grupo sinalakay tinam ba ngan npa tauhan militar pulisya isinagawa aniya komunistang grupo karahasang matapos hilingin liderato pagbabalik usapang pangkapa yapaan paghahayag magpapatupad unila teral ceasefire simula noong listahan estados unidos tero ristang grupo npa samantala inilatag gobyerno kondisyones bilateral ceasefire agreement communist party philippines-new people army-national democratic front cpp-npa-ndf rito malinaw paramereters terms refe rence ceasefire
"IED sumambulat, binatilyo sugatan",,iulat sugat sabog improvised explosive device ied itanim gilid national highway barangay poblacion midsayap north cotabato hapon dalg-araw tukoy pulisya biktima hisnon midpantao anyos traysikel driver sitio tubak barangay ang aleos cotabato tamo sugat ibang bahagi kataw police supt bernard tayong chief police midsayap dakong alas- dalg-araw sambulat ied bahagi quezon avenue taong duma lugar biktima lul manehong traysikel gawa ano bala mm mortar ied kabit cellphone triggering device labas nakot extortion ano kitang motibo sidente gamot cotabato regional medical center crmc midpantao tuloy siyasat pulisya sabog,iniulat nasugatan pagsabog improvised explosive device ied itinanim gilid national highway barangay poblacion midsayap north cotabato kahapon madaling-araw tinukoy pulisya biktima hisnon midpantao -anyos traysikel driver sitio tubak barangay pagangan aleosan cotabato nagtamo sugat ibang bahagi katawan police supt bernard tayong chief police midsayap dakong alas- madaling-araw sumambulat ied bahagi quezon avenue nagkataong dumaan lugar biktima lulan minamanehong traysikel gawa umano bala mm mortar ied nakakabit cellphone triggering device lumalabas pananakot extortion umano nakikitang motibo insidente ginagamot cotabato regional medical center crmc midpantao patuloy pagsisiyasat pulisya pagpapasabog
2 sundalo sugatan sa BIFF clash,,sugat sundalo tapos itong kipagsagupa rebelde bay sha riff saydona mustapha ulong lawig udanao muslim autonomous region sabi hapon th infantry division ligtas lagay sugat turang laban anap makalawa barangay bundas tiyempu tropa th infantry battalion grupo rebelde tanim bomba roon two soldiers slightly wounded clash brought immediately camp siongco station hospital treatment ani captain arv encas spokesman th infantry division ako nam bangsamoro islamic freedom fighters biff gulu tagal kibaka biff upang tag sarilg estado rehiyon,sugatan sundalo matapos itong makipagsagupaan rebelde bayan sha riff saydona mustapha magulong lalawigan maguindanao muslim autonomous region sinabi kahapon th infantry division ligtas kalagayan sugatan naturang labanan naganap kamakalawa barangay nabundas natiyempuhan tropa th infantry battalion grupo rebelde nagtatanim bomba roon two soldiers slightly wounded clash brought immediately camp siongco station hospital treatment ani captain arvin encinas spokesman th infantry division inako naman bangsamoro islamic freedom fighters biff kaguluhan matagal nakikibaka biff upang maitatag sariling estado rehiyon
Boko Haram dumukot uli ng 22 babae,,bae nam dukot boko haram isla mists hiwalay pagsa lakay isagawa northeast nigeria ulat awtoridad anap unang salakay jihadist noong huwebes pulka village lapit border cameroon bai dukot isakay ano pick-up vans bai edad  tapos salakay boko haram fighters mamm nur camp dakong alas-sais aga ragdagang bai kuha labas villages atake sabing tapat tagasunod abu musab al-barnawi anak boko haram founder mohammed yusuf batid hirang barnawi noong lipas taon islamic state group palit abubakar shekau kipag alyansa middle east jihadist group noong residente hayag kuhang bai gawg asawa fighters,babae naman dinukot boko haram isla mists magkahiwalay pagsa lakay isinagawa northeast nigeria ulat awtoridad naganap unang pagsalakay jihadist noong huwebes pulka village malapit border cameroon kababaihan dinukot isinakay umano pick-up vans kababaihan edad - matapos pagsalakay boko haram fighters mamman nur camp dakong alas-sais umaga karagdagang kababaihan kinuha labas villages umatake sinasabing tapat tagasunod abu musab al-barnawi anak boko haram founder mohammed yusuf nabatid hinirang barnawi noong nakalipas taon islamic state group kapalit abubakar shekau nakipag alyansa middle east jihadist group noong residente nagpahayag kinuhang kababaihan gagawing asawa fighters
"Sayyaf executioner, laglag",,timbog zamboanga city notoryosong abu sayyaf jihadist sabit ano pugot ulo construction worker sulu province noong raang taon kilala militar dakip amil ton tammang takas operasyon mahala sulu wanted tammang turang tay pang song krimal dakip makalawa pier zamboanga army major richard enciso spokesman st infantry division tammang spotted concerned citizen immediately notified authorities subject notorious member asg ajang-ajang group operating sulu tagged harassment construction company barangay liang tikul town sulu construction worker beheaded ani enciso ipasa militar tammang pulisya imbes tiga batid ibang sama tammang balak ba atake zamboanga puri nam briga dier general rolando joselito bautista division commander dakip tammang sabing tuloy operasyon abu sayyaf mdanao let-up operations lawless elements wika heneral,timbog zamboanga city notoryosong abu sayyaf jihadist sabit umano pagpugot ulo construction worker sulu province noong nakaraang taon kinilala militar nadakip amil ton tammang nakatakas operasyon pamahalaan sulu wanted tammang naturang pagpatay pang kasong kriminal nadakip kamakalawa pier zamboanga army major richard enciso spokesman st infantry division tammang spotted concerned citizen immediately notified authorities subject notorious member asg ajang-ajang group operating sulu tagged harassment construction company barangay liang patikul town sulu construction worker beheaded ani enciso ipinasa militar tammang pulisya iniimbes tigahan mabatid ibang kasamahan tammang nagbabalak ba atake zamboanga pinuri naman briga dier general rolando joselito bautista division commander pagkakadakip tammang sinabing nagpapatuloy operasyon abu sayyaf mindanao let-up operations lawless elements wika heneral
Boracay nakaalerto vs terorismo,,todo-alerto pulisya western visayas rtikular boracay island tanggap unvalidated reports target terorismo sabg lugar police regional office pro- director chief supt jose gentiles bagama rtikular banta terorismo ano silang tanggap unvalidated reports hangga tiyak alerto pulis lugar wala banta terorismo rehiyon lalo mara ming tourist destination isla panay tawar unlad ekonomiya western visayas sabi gentiles pigil yari pasok maute terror group region paigting koordasyon muslim community western visayas upang hing tulong bantay patid muslim pasok rehiyon lalo mdanao ugnay sabi hadji muammar fai sal arpa chairperson united federation muslim association western visayas tayo screening committee busisi maigi background muslim pasok rehiyon,todo-alerto pulisya western visayas partikular boracay island tinatanggap unvalidated reports target terorismo nasabing lugar police regional office pro- director chief supt jose gentiles bagama partikular banta terorismo umano silang natatanggap unvalidated reports hangga tinitiyak alerto pulis lugar mawala banta terorismo rehiyon lalo mara ming tourist destination isla panay matatawaran pag-unlad ekonomiya western visayas sinabi gentiles pinipigilan mangyari makapasok maute terror group region pinaigting koordinasyon muslim community western visayas upang hingin tulong pagbabantay kapatid muslim pumapasok rehiyon lalo mindanao kaugnay sinabi hadji muammar fai sal arumpa chairperson united federation muslim association western visayas nagtayo screening committee busisiin maigi background muslim pumapasok rehiyon
Bus binulabog ng bomba,,gulo sahero aircon bus jasper jean services tym biyaheng dasmari as-navotas raang tagpu sahero kulay dilaw eco bag lam bomba sado alas-otso aga makalawa litu saherong ryan denver jose lopez -an yos piela dasmari city cavite agad dampot eco bag takbo ptu bus itapon damong bahagi barangay salitr sabg bomba kwento lopez lipat upu loob bus lipat apak ano siyang tigas bagay upu siyasat lam nitong ied wirings responde swat eod cavite rekober improvised explosive device samang cell phone wiring taya awtoridad yahang sabog sabg ied sangkap titrigger sabog batid baterya samang cellphone wala itong simcard,nagkagulo pasahero aircon bus jasper jean services tym biyaheng dasmari as-navotas makaraang matagpuan pasahero kulay dilaw eco bag naglalaman bomba pasado alas-otso umaga kamakalawa kalituhan saherong ryan denver jose lopez -an yos piela dasmari city cavite agad dinampot eco bag tumakbo pintuan bus itinapon madamong bahagi barangay salitran nasabing bomba kwento lopez lumipat upuan loob bus kalipat naapakan umano siyang matigas bagay upuan siyasatin laman nitong ied wirings pagresponde swat eod cavite narekober improvised explosive device kasamang cell phone wiring pagtataya awtoridad kakayahang sumabog nasabing ied sangkap magtitrigger pagsabog nabatid baterya kasamang cellphone wala itong simcard
12 patay sa engkwentrong militar-NPA,,sundalo tau new people army npa sawi tapos engkwentro rebeldeng new people army sitio ymuhu barangay lut general nakar quezon makalawa hapon pang sundalo sugat turang engkwentro lt col randolph cabangbang commander th infantry battalion philippe army base northern quezon tanggap report tay panig npa dahilang kuha bangkay clash site sierra madre mountain ranges subalit senior insp leonardo su averdez hepe ge neral nakar police batay impormasyong paabot residente turang baranggay npa ano atay sagupa,sundalo tauhan new people army npa nasawi matapos engkwentro rebeldeng new people army sitio paymuhuan barangay lumutan general nakar quezon kamakalawa hapon pang sundalo sugatan naturang engkwentro lt col randolph cabangbang commander th infantry battalion philippine army nakabase northern quezon natatanggap report napatay panig npa dahilang nakukuha bangkay clash site sierra madre mountain ranges subalit senior insp leonardo su averdez hepe ge neral nakar police batay impormasyong pinaabot residente naturang baranggay npa umano namatay sagupaan
AFP tamang duda sa CPP-NPA,,hayag duda munu afp sulong balakid peace talks communist party philippes-new people army-national democratic front cpp-npa-ndf sunod bang direktiba cpp alyadong npa lalo pang igtg re-recruit bagong sapi sabi afp spokesman brig gen restituto dilla andang yari tuloy usapang yapa europa tunay nais cpp dagdag dami miyembro gayund layun peace talks tapus armadong kipagbaka simulang balik normal muhay rebelde dilla law ta talaga seryoso cpp-npa-ndf hangad tagalang yapa bansa usapang yapa gobyerno cpp-npa-ndf tuloy unang lggo april,nagpahayag pagdududa pamunuan afp maisusulong balakid peace talks communist party philippines-new people army-national democratic front cpp-npa-ndf kasunod binabang direktiba cpp kaalyadong npa lalo pang paigtingin pagre-recruit bagong kasapi sinabi afp spokesman brig gen restituto padilla magandang pangyayari pagpapatuloy usapang pangkapayapaan europa patunay pagnanais cpp madagdagan dumami miyembro gayundin layunin peace talks tapusin armadong pakikipagbaka simulang pabalikin normal pamumuhay rebelde padilla malinaw pagpapakita talaga seryoso cpp-npa-ndf paghahangad pangmatagalang kapayapaan bansa usapang pangkapayapaan gobyerno cpp-npa-ndf ipagpapatuloy unang linggo april
1 pang bihag ng ASG nabawi,,bunsod hpay paigting ope rasyon militar bawi lawang opis yal ro vessel dukot bihag abu say yaf noong huwebes raang lggo major general carlito galvez jr komander western mdanao command westmcom bandang alas- gabi makalawa sagip th special forces battalion chief engineer laurencio tiro brgy basak hadji mohammad ajul hma basil ligtas biktima bunsod pi gtg operasyon joint task force basil colonel juvymax uy kabibilang th special forces battalion muno lt col andrew bacala,bunsod humpay pinaigting ope rasyon militar nabawi ikalawang opis yal roro vessel dinukot binihag abu say yaf noong huwebes nakaraang linggo major general carlito galvez jr komander western mindanao command westmincom bandang alas- gabi kamakalawa masagip th special forces battalion chief engineer laurencio tiro brgy basakan hadji mohammad ajul hma basilan pagkakaligtas biktima bunsod pi naigting operasyon joint task force basilan colonel juvymax uy kinabibilangan th special forces battalion pamumuno lt col andrew bacala
"3 Malaysians, laya na",,pakawal abu sayyaf laysi sailors dukot sabah laysia bihag notoryosong jihadist group ramg lawig basil sulu muslim autonomous region kilala palayang bihag sina mohd ridzu ismail fandy bakr mohd jadil rahim sulu kawal noong lggo gabi sama sina abd rahim smas tayud anjut palaya noong marso sulu uwi laysia makalawa wang tugboat crew serudong tiga dukot noong hulyo raang taon ragat lahad datu unang hgi p milyon ransom abu sayyaf agad batid bayad ba laysia amo turang jihadist group alyado islamic state hapon ipagpipilit nam mili tar sundalo ligtas,pinakawalan abu sayyaf malaysian sailors dinukot sabah malaysia bihag notoryosong jihadist group maraming lalawigan basilan sulu muslim autonomous region nakilala pinalayang bihag sina mohd ridzuan ismail fandy bakran mohd jumadil rahim sulu napakawalan noong linggo gabi kasamahan sina abd rahim summas tayudin anjut pinalaya noong marso sulu nakauwi malaysia kamakalawa wang tugboat crew serudong tiga dinukot noong hulyo nakaraang taon karagatan lahad datu naunang humingi p milyon ransom abu sayyaf agad mabatid nagbayad ba malaysia amo naturang jihadist group kaalyado islamic state kahapon ipinagpipilitan naman mili tar sundalo nagligtas
Kadamay eviction kinansela,,nsamantala munang itigil ti onal housing authority nha ha eviction notice miyembro damay okupa bahay pandi bulac turang desisyon ahensya sunod kipag-daya logo ganap hapon lider kataw damay alis posibilidad roon tding tensyon gulu nim housing p r oject gobyerno b yan pandi bulac lakg porsiyento grupong lipun damayang hirap damay okupa libu-libong yunit bahay tigas bantang payag lisan ilegal okupahang bahay tapos araw eviction notice isilbi national housing authority nha rtikular tuk nha tuwang provincial public safety company psc bulac pnp phi lippe army villa elise yroong miyembro damay okupa bakanteng yunit la pnp afp bjmp bfp unang silbi eviction notice lggo kara doble-dobleng barikada ilagay grupo urban poor sok nha pulis araw sagawa drill pasuk barikada ding tanggap intelligence report awtoridad miyembro damay armado pill box molotov bomb itong gamit eksaktong lggo hapon lipas isilbi nha notice ayos lisan damay bakanteng yunit iligal okupa han noong marso,pansamantala munang ititigil ti onal housing authority nha paghahain eviction notice miyembro kadamay umokupa pabahay pandi bulacan naturang desisyon ahensya kasunod pakikipag-daya logo ginanap kahapon lider kinatawan kadamay inaalis posibilidad magkaroon matinding tensyon kaguluhan nim housing p r oject gobyerno b yan pandi bulacan malaking porsiyento grupong kalipunan damayang mahihirap kadamay naka-okupa libu-libong yunit pabahay nagmamatigas nagbantang papayag lisanin ilegal inokupahang bahay matapos araw eviction notice isinilbi national housing authority nha partikular tututukan nha katuwang provincial public safety company ppsc bulacan pnp phi lippine army villa elise mayroong miyembro kadamay nakaokupa bakanteng yunit nakalaan pnp afp bjmp bfp unang sinilbihan eviction notice linggo nakakaraan doble-dobleng barikada inilagay grupo urban poor mapasok nha kapulisan araw nagsagawa drill pasukin barikada ding tinanggap intelligence report awtoridad miyembro damay armado pill box molotov bomb itong gagamitin eksaktong linggo kahapon nakalilipas isilbi nha notice maayos lisanin damay bakanteng yunit iligal inokupa han noong marso
"Vice mayor, nakaligtas sa ambush",,ligtas bise alkalde sip basil tapos tambang hapon aga sitio crossing tuli barangay rang sip sabg lawig batay report ipi ratg camp crame chief supt reuben theodore sdac director autonomous region muslim mda nao armm bandang alas- aga hapon anap nambang convoy sip municipal vice mayor jul hatam alam ga ling sip convoy hatam sama security escorts dump truck baril di kilalang armadong grupo lugar sabi sdac sugat katao wang civilian escort hatam ulat nam joint task force basil kilala iulat sugat sina dasid karim turmi asik sama vice mayor punta grupo hatam munisipyo albarka lakg selebrasyon aganap lugar sunod diriwang people day gunita araw bawi militar lugar tero ristang abu sayyaf tapos habang laban teyoryang grupo abu sayyaf ituturong responsable sabg sabog,ligtas bise alkalde sumisip basilan matapos tambangan kahapon umaga sitio crossing katuli barangay marang sumisip nasabing lalawigan batay report ipi narating camp crame chief supt reuben theodore sindac director autonomous region muslim minda nao armm bandang alas- umaga kahapon maganap pananambang convoy sumisip municipal vice mayor jul hataman napag-alaman ga ling sumisip convoy hataman kasama security escorts dump truck pagbabarilin di nakikilalang armadong grupo lugar sinabi sindac nasugatan katao pawang civilian escort hataman ulat naman joint task force basilan kinilala iniulat sugatan sina dasid karim turmi asikin kasamahan vice mayor papunta grupo hataman munisipyo albarka malaking selebrasyon nagaganap lugar kasunod pagdiriwang people day paggunita araw nabawi militar lugar tero ristang abu sayyaf matapos mahabang labanan teyoryang grupo abu sayyaf itinuturong responsable nasabing pagsabog
"Panaderya bombing:  22 patay,  sugatan",,patay katao sugat higit dosenang tapos hagis granada ba kery bay jolo sulu province base iparating ulat jolo police joint task force sulu commander col cirilito sobejana camp agualdo bilang tay menor de edad isugod sulu provincial hospital pang sugat wang tamo tama shrapnel kataw alam yari sabog dakong alas- gabi lapit rina bakeshop grocery sitio lambayon barangay busbos jolo sulu ibabalita tukoy kilanl sawi sugat tapos lakas sabog agad ang aresto res ponsable hagis mpasabog nam tukoy kilanl isasailalim tactical interrogation jolo municipal police tuloy hot pursuit operation tuwang pulis militar aresto responsable sidente,patay katao sugatan mahigit dosenang matapos hagisan granada ba kery bayan jolo sulu province base ipinarating ulat jolo police joint task force sulu commander col cirilito sobejana camp aguinaldo kabilang napatay menor de edad isinugod sulu provincial hospital pang nasugatan pawang nagtamo tama shrapnel katawan napag-alaman nangyari pagsabog dakong alas- gabi malapit karina bakeshop grocery sitio lambayon barangay busbos jolo sulu ibinabalita matukoy pagkakakilanlan nasawi nasugatan matapos malakas pagsabog agad namang naaresto res ponsable paghahagis pampasabog naman tinukoy pagkakilanlan isinasailalim tactical interrogation jolo municipal police patuloy hot pursuit operation magkatuwang pulis militar maaresto responsable insidente
‘NPA’ mala-kidlat na nag-rally sa Maynila,,akmang-akma isagawang lightning rally miyembro lipun gurong bay guma umbrella organization new people army npa hapon aga sta cruz ynila dahilang anong bilis takbu gitna rizal avenue lrt line carriedo station ganun bilis wala lsada sado alas- quta market takbu gitna rizal avenue bara lsada ramdam gobyerno ika- anibersaryo npa iladlad banner himok sapi npa kondena ano militarisasyon lawig tigil lsada muto apektu daloy trapiko lugar busina galit motorista rtsa grupo tungong recto hiwa-hiwalay nya-kanya alis,akmang-akma isinagawang lightning rally miyembro kalipunan gurong makabayan kaguma umbrella organization new people army npa kahapon umaga sta cruz maynila dahilang anong bilis nagtakbuhan gitna rizal avenue lrt line carriedo station ganun kabilis nawala kalsada pasado alas- quinta market nagtakbuhan gitna rizal avenue binarahan kalsada nagparamdam gobyerno ika- anibersaryo npa iniladlad banner nanghihimok sumapi npa kinokondena umano militarisasyon lalawigan tumigil kalsada minuto maapektuhan daloy trapiko lugar binusinahan galit motorista nagmartsa grupo patungong recto naghiwa-hiwalay nagkanya-kanya alis
"Bihag na kapitan, nabawi; 2 Sayyaf todas sa sundalo",,tay sundalo abu sayyaf fighters dakip tapos sagupa ulong lawig basil ligtas diano militar dukot poy seaman sabi army captain jo-ann petglay spokeswoman western mdanao command bawi tropa bay al-barka tubur motorized boats gamit abu sayyaf kidnapping activities mirata slang jaudi salapudd bilang diano hijacking nami cargo ship super ro basil makail dukot abu sayyaf sina engr laurence tito captain aurelio agacac ligtas ano pang sawi kilalang bista nisalun petglay pang abu sayyaf rolly ikih dakip bahay barangay gawad vanessa lajim tahubong bay sip town bawi sundalo ikih -caliber pistol bala agad batid ikih bahay opisyal best rescue kidnap victims within area operations however one challenge armed forces cannot address alone need help support every peace-loving filipos fight nam major general carlito galvez regional military commander bihag abu sayyaf higit dosenang asi sailors dukot ragat basil tawi-tawi sabah laysia samantala tiyak col juvymax uy puno joint task force basil tuluy-tuloy rescue operation hawak bandidong grupo pang tripulante tugboat laurencio tiro,napatay sundalo abu sayyaf fighters nadakip matapos sagupaan magulong lalawigan basilan nailigtas diumano militar dinukot pinoy seaman sinabi army captain jo-ann petinglay spokeswoman western mindanao command nabawi tropa bayan al-barka tuburan motorized boats ginagamit abu sayyaf kidnapping activities pamimirata napaslang jaudi salapuddin kabilang diumano hijacking panamian cargo ship super roro basilan kamakailan dinukot abu sayyaf sina engr laurence tito captain aurelio agacac nailigtas umano pang nasawi nakilalang bistahan nisalun petinglay pang abu sayyaf rolly ikih nadakip bahay barangay kagawad vanessa lajiman tumahubong bayan sumisip town nabawi sundalo ikih -caliber pistol bala agad mabatid ikih bahay opisyal best rescue kidnap victims within area operations however one challenge armed forces cannot address alone need help support every peace-loving filipinos fight naman major general carlito galvez regional military commander bihag abu sayyaf mahigit dosenang asian sailors dinukot karagatan basilan tawi-tawi sabah malaysia samantala tiniyak col juvymax uy pinuno joint task force basilan tuluy-tuloy rescue operation hawak bandidong grupo pang tripulante tugboat laurencio tiro
100 pamilya nagbakwet sa NPA encounter,,tayang milya ipit giyera armed forces philippes afp rebeldeng new people army npa silikas labis takot damay gulu barangay tablu tampak south cotabato militar tala ano sugat panig rebeldeng grupo sapi npa guerilla front lugar salukuyang tuloy beripikasyon awtoridad sugat apektadong dibidwal talang patay panig grupo dagdag puwersa th infantry battalion lugar upang tulong tugis rebelde air assets militar responde upang tulong likas residenteng ipit bakbak upang pigil te roristang grupo kondena nam opisyal probsya yarg atake npa alintana buhay sibily bila patay bilang panig amba nam sunod unilateral declaration interim ceasefire balangkas communist party philippes cpp marso bigyan-da apat peace talks gobyerno netherlands,tinatayang pamilya naiipit giyera armed forces philippines afp rebeldeng new people army npa nagsilikas labis takot madamay kaguluhan barangay tablu tampakan south cotabato militar nakapagtala umano sugatan panig rebeldeng grupo kasapi npa guerilla front lugar kasalukuyang nagpapatuloy beripikasyon awtoridad sugatan apektadong indibidwal naitalang patay panig grupo nagdagdag puwersa th infantry battalion lugar upang tumulong pagtugis rebelde air assets militar rumesponde upang makatulong paglikas residenteng naiipit bakbakan upang mapigil te roristang grupo kinondena naman opisyal probinsya nangyaring pang-aatake npa inalintana buhay sibilyan kabila patayan magkabilang panig nakaamba naman susunod unilateral declaration interim ceasefire binabalangkas communist party philippines cpp mag-marso bigyan-daan ikaapat peace talks gobyerno netherlands
Kadamay bigo sa Bustos Heights,,bigong sok higit sapi lipun damayang hirap damay pang bahay gobyerno bustos heights barangay catacte bustos bulac raang sagawa barikada lehitimong residente lugar tuwang pulis military upang pasok ang government housing project sabg munisipalidad grupo urban poor p chief inspector victor bernabe bustos police chief sado alas makalawa gabi mulang datg damay lul halos mpasaherong dyip bisidad bustos heights tangkang okupa bakanteng yunit bahay sabg bay bigo mismong residente pulis militar base lapit lugar harang plano urban poor iligal okupa bahay kiusap bustos mayor arnel mendoza damay lisan lugar pakingg grupo desisyon silang lisan lugar sado alas gabi gayunpam banta grupo balik oras upangpuwersa sakup housing project occupy pandi,nabigong mapasok mahigit kasapi kalipunan damayang mahihirap kadamay pang pabahay gobyerno bustos heights barangay catacte bustos bulacan makaraang magsagawa barikada lehitimong residente lugar katuwang pulis military upang makapasok namang government housing project nasabing munisipalidad grupo urban poor p chief inspector victor bernabe bustos police chief pasado alas kamakalawa gabi magsimulang dumating kadamay lulan halos pampasaherong dyip bisinidad bustos heights nagtangkang okupahin bakanteng yunit pabahay nasabing bayan nabigo mismong residente kapulisan militar nakabase malapit lugar maharang plano urban poor iligal okupahan pabahay nakiusap bustos mayor arnel mendoza kadamay lisanin lugar pinakinggan grupo magdesisyon silang lisanin lugar pasado alas gabi gayunpaman nagbanta grupo babalik oras upangpuwersahan sasakupin housing project occupy pandi
"Bakbakang militar, NPA sumiklab sa Mindanao",,siklab sagupa tropa mahala rebeldeng new people army npa lugar mdanao hapon sabay anunsyo komunista impen ding release bihag antipas north cotabato chief nsp rolando dillera antipas police chief tagal higit oras bakbak wala ang iulat sawi sabi dillera sagupa anap barangay camut hasik lagim rebelde pang huwebes military still village conduct clearing operations evacuees safe designated evacuation centers town proper dillera tampak south cotabato mat ding bakbak anap hapon aga rebelde atake paramilitary detachment barangay tablu bandang alas-otso aga nam report sr insp harold cornel hepe tampak police fighting still going wika cornel,sumiklab sagupaan tropa pamahalaan rebeldeng new people army npa lugar mindanao kahapon kasabay pag-anunsyo komunista impen ding release bihag antipas north cotabato chief nsp rolando dillera antipas police chief tumagal mahigit oras bakbakan wala namang iniulat nasawi sinabi dillera sagupaan naganap barangay camutan naghasik lagim rebelde pang huwebes military still village conduct clearing operations evacuees safe designated evacuation centers town proper dillera tampakan south cotabato matin ding bakbakan naganap kahapon umaga rebelde umatake paramilitary detachment barangay tablu bandang alas-otso umaga naman report sr insp harold cornel hepe tampakan police fighting still going wika cornel
France inatake din ng terorista,,bulabog imili lugar bansang france raang kotse aro sibily shopping area ulat awa ang harang awtoridad eho saky tuluyang sagasa imili batid aresto belgi police laki lul kotse belgium federal prosecutor office kotse rehistrado france pigil tapos hto para kuhan baril tawag nam french president fancois hollande sidente uri tangkang terrorist attack,nabulabog mamimili lugar bansang france makaraang kotse umararo sibilyan shopping area ulat nagawa namang maharang awtoridad nagmamaneho sasakyan tuluyang makasagasa mamimili nabatid naaresto belgian police lalaki lulan kotse belgium federal prosecutor office kotse rehistrado france pinigil matapos huminto pinapara nakuhanan baril tinawag naman french president fancois hollande insidente uri tangkang terrorist attack
"Teenager na Sayyaf member, sumurender",,anyos sapi bandidong abu sayyaf group suko awtoridad tipo-tipo basil report iparating th infantry battalion commander lt col ernest john jadloc camp agualdo suko abuhair jing alyas badero sabay nitong isuko armas bala alam syang suko teenager nitong uhay normal samantala lugod ang salamat ulang jing suko balik-loob mahala anak samantala handa nam lokal mahala tipo-tipo suporta abuhair milya roon pang buhay abuhair wanted finish studies wika jadloc,-anyos kasapi bandidong abu sayyaf group sumuko awtoridad tipo-tipo basilan report ipinarating th infantry battalion commander lt col ernest john jadloc camp aguinaldo sumuko abuhair kajing alyas badero kasabay nitong isinuko armas bala napag-alaman nagpasyang sumuko teenager nitong mamuhay normal samantala malugod namang nagpasalamat magulang kajing pagsuko pagbalik-loob pamahalaan anak samantala handa naman lokal pamahalaan tipo-tipo suportahan abuhair pamilya magkaroon pang kabuhayan abuhair wanted finish studies wika jadloc
